symbol,R,time
MYX/USDT:USDT,-1.0,2025-08-17 12:45:00
MYX/USDT:USDT,-1.0,2025-08-17 12:45:00
MYX/USDT:USDT,-1.0,2025-08-17 18:15:00
MYX/USDT:USDT,1.7000000000000002,2025-08-18 13:15:00
MYX/USDT:USDT,0.5,2025-08-18 16:00:00
MYX/USDT:USDT,0.5,2025-08-18 21:45:00
MYX/USDT:USDT,1.7000000000000002,2025-08-19 11:15:00
MYX/USDT:USDT,1.3,2025-08-19 11:30:00
MYX/USDT:USDT,0.5,2025-08-19 11:30:00
MYX/USDT:USDT,-1.0,2025-08-19 12:00:00
MYX/USDT:USDT,-1.0,2025-08-19 12:00:00
MYX/USDT:USDT,1.3,2025-08-20 15:15:00
MYX/USDT:USDT,-1.0,2025-08-20 16:15:00
MYX/USDT:USDT,0.5,2025-08-21 09:30:00
MYX/USDT:USDT,-1.0,2025-08-21 17:45:00
MYX/USDT:USDT,-1.0,2025-08-22 04:00:00
MYX/USDT:USDT,-1.0,2025-08-22 07:00:00
MYX/USDT:USDT,0.0,2025-08-22 11:00:00
FARTCOIN/USDT:USDT,0.5,2025-08-12 12:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-13 02:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-13 02:00:00
FARTCOIN/USDT:USDT,0.5,2025-08-13 05:45:00
FARTCOIN/USDT:USDT,0.5,2025-08-13 14:30:00
FARTCOIN/USDT:USDT,1.3,2025-08-14 05:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-14 06:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-14 10:15:00
FARTCOIN/USDT:USDT,1.3,2025-08-14 21:30:00
FARTCOIN/USDT:USDT,0.5,2025-08-14 21:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-14 22:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-15 03:00:00
FARTCOIN/USDT:USDT,1.7000000000000002,2025-08-15 15:30:00
FARTCOIN/USDT:USDT,0.5,2025-08-16 07:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-16 13:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 03:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 08:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 10:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 13:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 18:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 22:15:00
FARTCOIN/USDT:USDT,-1.0,2025-08-17 23:30:00
FARTCOIN/USDT:USDT,1.3,2025-08-18 02:15:00
FARTCOIN/USDT:USDT,0.5,2025-08-18 17:30:00
FARTCOIN/USDT:USDT,-1.0,2025-08-18 22:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-19 00:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-19 00:45:00
FARTCOIN/USDT:USDT,0.5,2025-08-19 05:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-19 09:30:00
FARTCOIN/USDT:USDT,1.3,2025-08-19 14:30:00
FARTCOIN/USDT:USDT,0.5,2025-08-19 14:30:00
FARTCOIN/USDT:USDT,0.5,2025-08-19 17:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-20 15:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-20 19:45:00
FARTCOIN/USDT:USDT,-1.0,2025-08-21 02:15:00
FARTCOIN/USDT:USDT,-1.0,2025-08-21 07:15:00
FARTCOIN/USDT:USDT,0.5,2025-08-21 14:30:00
FARTCOIN/USDT:USDT,0.5,2025-08-21 19:00:00
FARTCOIN/USDT:USDT,-1.0,2025-08-22 02:15:00
FARTCOIN/USDT:USDT,-1.0,2025-08-22 05:45:00
FARTCOIN/USDT:USDT,0.5,2025-08-22 11:00:00
